2025-05-24 19:40:53,823 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:54,355 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:54,764 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:55,617 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:55,906 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:56,692 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:57,003 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:58,003 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:58,286 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:58,966 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:59,248 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:59,765 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:00,056 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:00,890 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:01,177 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:01,708 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:02,123 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:02,800 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:03,085 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:03,610 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:03,899 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:04,410 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:04,694 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:05,232 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:05,647 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:06,170 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:06,457 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:06,985 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:07,404 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
